Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
191,BIN,Bingo Industries Ltd,$2.45,-0.03,-1.21%,$1.60 B,+2.08%
192,CIP,Centuria Industrial REIT,$3.11,+0.05,+1.63%,$1.59 B,-7.31%
193,PPT,Perpetual Ltd,$27.82,+0.79,+2.92%,$1.57 B,-24.28%
194,PRU,Perseus Mining Ltd,$1.28,+0.06,+4.92%,$1.57 B,+36.90%
195,NAN,Nanosonics Ltd,$5.12,+0.07,+1.39%,$1.54 B,-27.17%
196,INA,Ingenia Communities Group,$4.71,+0.06,+1.29%,$1.54 B,+6.32%
197,AIZ,Air New Zealand Ltd,$1.34,+0.03,+2.29%,$1.50 B,-49.81%
198,IVC,Invocare Ltd,$10.30,+0.17,+1.68%,$1.48 B,-22.73%
199,IAF,Ishares Core Composite Bond ETF,$117.22,+0.36,+0.31%,$1.46 B,+2.35%
200,VAF,Vanguard Australian Fixed Interest INDEX ETF,$52.70,+0.14,+0.27%,$1.45 B,+1.00%
201,MFF,MFF Capital Investments Ltd,$2.58,+0.04,+1.58%,$1.44 B,-24.88%
202,ZEL,Z Energy Ltd,$2.75,+0.08,+3.00%,$1.43 B,-44.89%
203,CGC,Costa Group Holdings Ltd,$3.56,+0.05,+1.43%,$1.43 B,+35.36%
204,DEG,De Grey Mining Ltd,$1.115,+0.075,+7.21%,$1.43 B,"+1,789.83%"
205,IPH,IPH Ltd,$6.59,+0.08,+1.23%,$1.42 B,-16.58%
206,GOLD,ETFs Metal Securities Australia Ltd,$251.82,-0.07,-0.03%,$1.42 B,+22.58%
207,FCL,Fineos Corporation Holdings Plc,$4.62,+0.1,+2.21%,$1.39 B,+51.97%
208,AVN,Aventus Group,$2.45,+0.02,+0.82%,$1.39 B,-11.87%
209,BKL,Blackmores Ltd,$71.80,+1.24,+1.76%,$1.39 B,-15.20%
210,TLT,Tilt Renewables Ltd,$3.66,+0.02,+0.55%,$1.38 B,+27.73%
211,VHY,Vanguard Australian Shares High Yield ETF,$51.95,+0.89,+1.74%,$1.36 B,-13.70%
212,HUB,HUB24 Ltd,$21.00,-0.35,-1.64%,$1.33 B,+69.63%
213,NUF,Nufarm Ltd,$3.49,+0.09,+2.65%,$1.33 B,-41.64%
214,JHG,Janus Henderson Group Plc,$35.47,+0.5,+1.43%,$1.32 B,+3.59%
215,SLK,Sealink Travel Group Ltd,$5.95,+0.09,+1.54%,$1.30 B,+13.99%
216,CEN,Contact Energy Ltd,$6.95,+0.05,+0.73%,$1.29 B,-3.07%
217,EVT,Event Hospitality and Entertainment Ltd,$8.00,+0.05,+0.63%,$1.29 B,-38.41%
218,QUAL,Vaneck Vectors MSCI World Ex Australia Quality ETF,$32.44,+0.35,+1.09%,$1.28 B,+12.29%
219,CCP,Credit Corp Group Ltd,$19.00,+1.33,+7.53%,$1.28 B,-41.25%
220,WEB,Webjet Ltd,$3.77,+0.3,+8.65%,$1.28 B,-55.12%
221,MXT,MCP Master Income Trust,$1.98,+0.01,+0.51%,$1.27 B,-3.57%
222,AUB,AUB Group Ltd,$16.96,+0.27,+1.62%,$1.26 B,+36.44%
